Macrotrends Data Download

U.K. GDP Growth Rate 1961-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Growth (%), Annual Change, 
1961-12-31,2.6771
1962-12-31,1.1029,-1.57
1963-12-31,4.8744,3.77
1964-12-31,5.5337,0.66
1965-12-31,2.1422,-3.39
1966-12-31,1.5731,-0.57
1967-12-31,2.7865,1.21
1968-12-31,5.4411,2.65
1969-12-31,1.9241,-3.52
1970-12-31,6.8409,4.92
1971-12-31,3.5047,-3.34
1972-12-31,4.3217,0.82
1973-12-31,6.5238,2.2
1974-12-31,-2.4844,-9.01
1975-12-31,-1.4736,1.01
1976-12-31,2.9103,4.38
1977-12-31,2.4578,-0.45
1978-12-31,4.2043,1.75
1979-12-31,3.749,-0.46
1980-12-31,-2.0314,-5.78
1981-12-31,-0.7877,1.24
1982-12-31,1.9949,2.78
1983-12-31,4.2219,2.23
1984-12-31,2.2691,-1.95
1985-12-31,4.1474,1.88
1986-12-31,3.1503,-1
1987-12-31,5.3927,2.24
1988-12-31,5.7324,0.34
1989-12-31,2.5776,-3.15
1990-12-31,0.7338,-1.84
1991-12-31,-1.1031,-1.84
1992-12-31,0.4011,1.5
1993-12-31,2.4898,2.09
1994-12-31,3.846,1.36
1995-12-31,2.5317,-1.31
1996-12-31,1.9078,-0.62
1997-12-31,4.3666,2.46
1998-12-31,3.1573,-1.21
1999-12-31,3.0141,-0.14
2000-12-31,4.0927,1.08
2001-12-31,2.1574,-1.94
2002-12-31,1.7708,-0.39
2003-12-31,3.1231,1.35
2004-12-31,2.345,-0.78
2005-12-31,2.6683,0.32
2006-12-31,2.1604,-0.51
2007-12-31,2.5635,0.4
2008-12-31,-0.1543,-2.72
2009-12-31,-4.5105,-4.36
2010-12-31,2.4301,6.94
2011-12-31,1.0676,-1.36
2012-12-31,1.4485,0.38
2013-12-31,1.8199,0.37
2014-12-31,3.1997,1.38
2015-12-31,2.3931,-0.81
2016-12-31,2.1652,-0.23
2017-12-31,2.4436,0.28
2018-12-31,1.705,-0.74
2019-12-31,1.6043,-0.1
2020-12-31,-11.0309,-12.64
2021-12-31,7.5249,18.56
